,link,id,locality,country,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace,garden,surface_land,swimming_pool,state_building,epc,public_sales,notary_sales
883,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230625,10230625,Namur,Belgium,Namur,5000,317000,APARTMENT,APARTMENT,3.0,118.0,1,0,0,15.0,0.0,,0,,A,,
886,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230650,10230650,Namur,Belgium,Namur,5000,317000,APARTMENT,APARTMENT,3.0,108.0,1,0,0,32.0,0.0,,0,,B,,
890,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11111545,11111545,Gent,Belgium,East Flanders,9000,498000,HOUSE,HOUSE,4.0,192.0,1,0,0,26.0,75.0,0.0,0,,,,
891,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230624,10230624,Namur,Belgium,Namur,5000,322000,APARTMENT,APARTMENT,3.0,123.0,1,0,0,13.0,0.0,,0,,A,,
892,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230634,10230634,Namur,Belgium,Namur,5000,322000,APARTMENT,APARTMENT,3.0,118.0,1,0,0,15.0,0.0,,0,,A,,
893,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105971,11105971,Brussels,Belgium,Brussels,1000,369000,APARTMENT,APARTMENT,2.0,93.0,0,0,0,8.0,0.0,,0,GOOD,,,
894,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230633,10230633,Namur,Belgium,Namur,5000,328000,APARTMENT,APARTMENT,3.0,123.0,1,0,0,13.0,0.0,,0,,A,,
895,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105967,11105967,Brussels,Belgium,Brussels,1000,374000,APARTMENT,APARTMENT,2.0,93.0,0,0,0,8.0,0.0,,0,GOOD,,,
896,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11111547,11111547,Gent,Belgium,East Flanders,9000,545000,HOUSE,HOUSE,4.0,180.0,1,0,0,22.0,79.0,0.0,0,,,,
897,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230643,10230643,Namur,Belgium,Namur,5000,328000,APARTMENT,APARTMENT,3.0,118.0,1,0,0,15.0,0.0,,0,,A,,
898,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104261,11104261,Brussels,Belgium,Brussels,1000,355000,APARTMENT,GROUND_FLOOR,2.0,95.0,1,0,0,6.0,0.0,,0,,,,
899,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104255,11104255,Brussels,Belgium,Brussels,1000,357000,APARTMENT,GROUND_FLOOR,2.0,94.0,1,0,0,6.0,0.0,,0,,,,
900,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11111546,11111546,Gent,Belgium,East Flanders,9000,560000,HOUSE,HOUSE,4.0,192.0,1,0,0,26.0,75.0,0.0,0,,,,
901,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230642,10230642,Namur,Belgium,Namur,5000,333000,APARTMENT,APARTMENT,3.0,123.0,1,0,0,13.0,0.0,,0,,A,,
902,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104256,11104256,Brussels,Belgium,Brussels,1000,360000,APARTMENT,APARTMENT,2.0,95.0,1,0,0,6.0,0.0,,0,,,,
903,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104258,11104258,Brussels,Belgium,Brussels,1000,363000,APARTMENT,GROUND_FLOOR,2.0,97.0,1,0,0,6.0,0.0,,0,,,,
904,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11111542,11111542,Gent,Belgium,East Flanders,9000,560000,HOUSE,HOUSE,4.0,192.0,1,0,0,26.0,75.0,0.0,0,,,,
905,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104254,11104254,Brussels,Belgium,Brussels,1000,369000,APARTMENT,APARTMENT,2.0,95.0,1,0,0,6.0,0.0,,0,,,,
906,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104260,11104260,Brussels,Belgium,Brussels,1000,374000,APARTMENT,APARTMENT,2.0,95.0,1,0,0,6.0,0.0,,0,,,,
908,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11104280,11104280,Brussels,Belgium,Brussels,1000,362000,APARTMENT,APARTMENT,2.0,96.0,1,0,0,10.0,0.0,,0,,,,
909,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11111548,11111548,Gent,Belgium,East Flanders,9000,560000,HOUSE,HOUSE,4.0,192.0,1,0,0,26.0,75.0,0.0,0,,,,
910,https://www.immoweb.be/en/classified/ground-floor/for-sale/brussels-city/1000/11104279,11104279,Brussels,Belgium,Brussels,1000,365000,APARTMENT,GROUND_FLOOR,2.0,99.0,1,0,0,10.0,0.0,,0,,,,
911,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119496,11119496,Namur,Belgium,Namur,5000,173000,APARTMENT,APARTMENT,1.0,44.0,1,0,0,0.0,0.0,,0,,,,
912,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11104285,11104285,Brussels,Belgium,Brussels,1000,370000,APARTMENT,APARTMENT,2.0,96.0,1,0,0,10.0,0.0,,0,,,,
913,https://www.immoweb.be/en/classified/ground-floor/for-sale/brussels-city/1000/11104288,11104288,Brussels,Belgium,Brussels,1000,370000,APARTMENT,GROUND_FLOOR,2.0,103.0,1,0,0,10.0,0.0,,0,,,,
914,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11111544,11111544,Gent,Belgium,East Flanders,9000,560000,HOUSE,HOUSE,4.0,192.0,1,0,0,26.0,75.0,0.0,0,,,,
915,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119495,11119495,Namur,Belgium,Namur,5000,175000,APARTMENT,APARTMENT,1.0,46.0,1,0,0,0.0,0.0,,0,,,,
916,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11111541,11111541,Gent,Belgium,East Flanders,9000,595000,HOUSE,HOUSE,4.0,180.0,1,0,0,22.0,187.0,0.0,0,,,,
918,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119497,11119497,Namur,Belgium,Namur,5000,177000,APARTMENT,APARTMENT,1.0,47.0,1,0,0,0.0,0.0,,0,,,,
919,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104327,11104327,Brussels,Belgium,Brussels,1000,364000,APARTMENT,GROUND_FLOOR,2.0,93.0,1,0,0,8.0,0.0,,0,,,,
920,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104321,11104321,Brussels,Belgium,Brussels,1000,366000,APARTMENT,GROUND_FLOOR,2.0,93.0,1,0,0,8.0,0.0,,0,,,,
921,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11126031,11126031,Gent,Belgium,East Flanders,9000,1084000,HOUSE,HOUSE,6.0,312.0,1,0,0,0.0,0.0,315.0,0,TO_BE_DONE_UP,E,,
922,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104330,11104330,Brussels,Belgium,Brussels,1000,370000,APARTMENT,GROUND_FLOOR,2.0,94.0,1,0,0,8.0,0.0,,0,,,,
923,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104328,11104328,Brussels,Belgium,Brussels,1000,374000,APARTMENT,APARTMENT,2.0,93.0,1,0,0,8.0,0.0,,0,,,,
